"","Area.of.residence","Area.of.workplace","All","Work.mainly.at.or.from.home","Underground..metro..light.rail..tram","Train","Bus..minibus.or.coach","Taxi","Motorcycle..scooter.or.moped","Driving.a.car.or.van","Passenger.in.a.car.or.van","Bicycle","On.foot","Other.method.of.travel.to.work","dist","clc","plc","ecp","ecp_perc"
"495704","E02001047","E02001091",2,0,0,0,1,0,0,1,0,0,0,0,15.5721892020138,0,0.0103288502684498,0.0206577005368996,0.0103288502684498
"495705","E02001047","E02001092",1,0,0,0,0,0,0,1,0,0,0,0,15.5577190390628,0,0.0103502961857704,0.0103502961857704,0.0103502961857704
"495706","E02001047","E02001093",7,0,0,0,1,0,0,6,0,0,0,0,15.5628989695242,0,0.0103426147108265,0.0723983029757854,0.0103426147108265
"495707","E02001047","E02001094",4,0,0,0,0,0,0,4,0,0,0,0,16.3258768832187,0,0.0092637721428071,0.0370550885712284,0.0092637721428071
"495708","E02001047","E02001095",12,0,0,0,3,0,0,8,0,0,1,0,16.9912876176092,0,0.00840466498387269,0.100855979806472,0.00840466498387269
"495709","E02001047","E02001096",7,0,0,0,1,0,0,5,0,0,1,0,16.842895854995,0,0.00858990807332598,0.0601293565132819,0.00858990807332598
"495710","E02001047","E02001097",24,0,0,3,0,0,0,21,0,0,0,0,17.6287040862794,0,0.00764866128506419,0.183567870841541,0.00764866128506419
"495998","E02001047","E02006902",270,0,0,8,126,1,2,94,22,8,9,0,5.23408161065856,0.0296296296296296,0.0357312782301351,1.64744512213649,0.00610164860050551
"495999","E02001047","E02006912",161,0,0,3,70,4,1,62,15,4,1,1,6.10928031503687,0.0248447204968944,0.0331498730868432,1.33712956698176,0.00830515258994879
"496000","E02001047","E02006913",71,0,0,1,15,6,2,36,5,2,4,0,4.22604677720842,0.028169014084507,0.0384119260796264,0.727246751653471,0.0102429119951193
"496001","E02001047","E02006914",48,0,0,0,29,0,0,18,1,0,0,0,7.03194075997588,0,0.0303397993152641,1.45631036713268,0.0303397993152641
"496002","E02001047","E02006915",28,0,0,1,1,0,0,22,1,2,1,0,4.74024710404527,0.0714285714285714,0.0370995815858459,-0.961211715596314,-0.0343289898427255
"496003","E02001047","E02006916",3,0,0,0,2,0,0,1,0,0,0,0,7.77277920507356,0,0.0280930716572897,0.084279214971869,0.0280930716572897
"496004","E02001047","E02006917",83,0,2,3,28,0,0,35,8,1,6,0,7.01145898900078,0.0120481927710843,0.0304023105558333,1.52339177613417,0.018354117784749
"496065","E02001048","E02001045",41,0,0,0,5,3,0,21,1,1,10,0,1.64136631129955,0.024390243902439,0.0408417122676825,0.674510202974981,0.0164514683652434
"496066","E02001048","E02001046",43,0,6,0,3,1,0,23,0,0,10,0,2.02423239226751,0,0.0412311750283323,1.77294052621829,0.0412311750283323
"496067","E02001048","E02001047",16,0,0,0,5,1,0,9,1,0,0,0,3.74109222582415,0,0.0395010417129697,0.632016667407515,0.0395010417129697
"496068","E02001048","E02001048",75,0,5,0,8,1,0,35,2,2,22,0,0,0.0266666666666667,0.024601022515226,-0.154923311358048,-0.00206564415144065
"496069","E02001048","E02001049",1,0,0,0,0,0,0,1,0,0,0,0,4.8110750881545,0,0.0369089050096864,0.0369089050096864,0.0369089050096864
"496070","E02001048","E02001050",171,0,0,2,17,3,0,69,11,9,58,2,1.96994516962913,0.0526315789473684,0.0412004935280763,-1.95471560669896,-0.0114310854192922
"496071","E02001048","E02001051",8,0,0,0,1,0,0,5,2,0,0,0,3.28549246560086,0,0.0403450568384585,0.322760454707668,0.0403450568384585
"496072","E02001048","E02001052",201,0,5,1,14,4,0,88,12,6,70,1,1.28997553752467,0.0298507462686567,0.0400577155468352,2.05160082491387,0.0102069692781784
"496073","E02001048","E02001053",13,0,0,0,0,0,0,12,0,0,1,0,2.834641610434,0,0.0409530572450479,0.532389744185622,0.0409530572450479
"496074","E02001048","E02001055",31,0,1,0,3,0,0,20,3,0,4,0,4.99831233494224,0,0.0363953079353724,1.12825454599655,0.0363953079353724
"496075","E02001048","E02001057",20,0,6,1,0,1,0,11,1,0,0,0,4.5430573409967,0,0.037618755583392,0.75237511166784,0.037618755583392
