"","Area.of.residence","Area.of.workplace","All.categories..Method.of.travel.to.work","Work.mainly.at.or.from.home","Underground..metro..light.rail..tram","Train","Bus..minibus.or.coach","Taxi","Motorcycle..scooter.or.moped","Driving.a.car.or.van","Passenger.in.a.car.or.van","Bicycle","On.foot","Other.method.of.travel.to.work","dist","p_cycle","pc","ecp"
"910610","E02002330","E02002391",4,0,0,0,0,0,0,2,0,0,2,0,22324.806598937,0.00345154223180249,0.01380616892721,0.01380616892721
"910611","E02002330","E02002392",37,0,0,2,1,1,0,28,2,0,3,0,17410.9245998028,0.00922205183618818,0.341215917938963,0.341215917938963
"910612","E02002330","E02002393",30,0,0,0,1,0,1,27,1,0,0,0,16060.837624652,0.01208077021176,0.362423106352801,0.362423106352801
"910613","E02002330","E02002394",7,0,0,0,0,0,0,7,0,0,0,0,15751.1905875386,0.0128525772720451,0.0899680409043157,0.0899680409043157
"910614","E02002330","E02002395",2,0,0,0,0,0,0,2,0,0,0,0,23732.4868162156,0.00260461562468181,0.00520923124936362,0.00520923124936362
"910615","E02002330","E02002396",5,0,0,0,0,0,0,1,2,0,2,0,19858.943669706,0.00565191112804433,0.0282595556402217,0.0282595556402217
"910616","E02002330","E02002397",1,0,0,0,0,0,0,1,0,0,0,0,21674.7195132066,0.00393078272224094,0.00393078272224094,0.00393078272224094
"910617","E02002330","E02002398",3,0,0,0,0,0,0,3,0,0,0,0,16746.0205463325,0.0105336865584198,0.0316010596752595,0.0316010596752595
"910618","E02002330","E02002399",6,0,0,0,0,0,0,5,1,0,0,0,17148.7910798177,0.00971843170947431,0.0583105902568458,0.0583105902568458
"910619","E02002330","E02002400",22,0,0,0,1,0,1,18,0,1,0,1,18814.8888774848,0.00696435292533454,0.15321576435736,-0.84678423564264
"910620","E02002330","E02002402",12,0,0,0,0,0,0,12,0,0,0,0,15405.4272232869,0.0137728192452105,0.165273830942526,0.165273830942526
"910621","E02002330","E02002403",11,0,0,0,0,0,0,10,1,0,0,0,14940.1961011981,0.0151158408131742,0.166274248944917,0.166274248944917
"910622","E02002330","E02002404",4,0,0,0,0,0,0,4,0,0,0,0,17079.6494148172,0.00985375491013261,0.0394150196405305,0.0394150196405305
"910623","E02002330","E02002405",3,0,0,0,0,0,0,3,0,0,0,0,24269.4829562998,0.00233937987460681,0.00701813962382044,0.00701813962382044
"910624","E02002330","E02002406",4,0,0,0,0,0,0,4,0,0,0,0,15931.8125957774,0.0123965716618515,0.0495862866474059,0.0495862866474059
"910625","E02002330","E02002408",4,0,0,0,0,0,0,4,0,0,0,0,22813.9345603618,0.00312988280883339,0.0125195312353336,0.0125195312353336
"910626","E02002330","E02002409",1,0,0,0,0,0,0,0,0,0,1,0,22244.1233594076,0.00350769035641932,0.00350769035641932,0.00350769035641932
"910627","E02002330","E02002411",17,0,0,0,1,0,0,14,2,0,0,0,19225.44736831,0.0064153464381284,0.109060889448183,0.109060889448183
"910628","E02002330","E02002412",8,0,0,0,0,0,0,8,0,0,0,0,21741.0309805,0.00387899569469397,0.0310319655575518,0.0310319655575518
"910629","E02002330","E02002414",6,0,0,0,2,0,0,4,0,0,0,0,18958.097990033,0.00676771070359472,0.0406062642215683,0.0406062642215683
"910630","E02002330","E02002415",2,0,0,0,0,0,0,2,0,0,0,0,19820.5488775545,0.00569547898243328,0.0113909579648666,0.0113909579648666
"910631","E02002330","E02002416",15,0,0,0,0,0,0,13,1,0,1,0,17893.0423203973,0.00837435458761983,0.125615318814297,0.125615318814297
"910632","E02002330","E02002417",4,0,0,0,0,0,0,4,0,0,0,0,18824.1409359003,0.00695147792101916,0.0278059116840767,0.0278059116840767
"910633","E02002330","E02002418",2,0,0,0,0,0,0,1,0,0,1,0,17948.1263195383,0.00828260233552993,0.0165652046710599,0.0165652046710599
"910634","E02002330","E02002419",15,0,0,0,3,0,0,10,1,0,1,0,20947.7664069868,0.00454591575352898,0.0681887363029347,0.0681887363029347
"910635","E02002330","E02002420",8,0,0,0,0,0,0,8,0,0,0,0,20758.171598297,0.00472160202929812,0.0377728162343849,0.0377728162343849
"910636","E02002330","E02002421",2,0,0,0,0,0,0,2,0,0,0,0,20054.0122736137,0.00543565495348306,0.0108713099069661,0.0108713099069661
"910637","E02002330","E02002422",15,0,0,0,2,0,0,13,0,0,0,0,22597.99024187,0.00326802042272538,0.0490203063408808,0.0490203063408808
"910638","E02002330","E02002424",5,0,0,0,0,0,0,4,1,0,0,0,23776.2876917161,0.00258189838451979,0.012909491922599,0.012909491922599
"910639","E02002330","E02002425",2,0,0,0,0,0,0,1,0,0,1,0,25398.2368704595,0.00186663081112812,0.00373326162225625,0.00373326162225625
"910640","E02002330","E02002426",5,0,0,0,0,1,0,2,1,0,1,0,20007.3849330901,0.00548658207091493,0.0274329103545747,0.0274329103545747
"910641","E02002330","E02002427",1,0,0,0,1,0,0,0,0,0,0,0,20448.1189136877,0.00502365969959551,0.00502365969959551,0.00502365969959551
"910642","E02002330","E02002428",4,0,0,0,0,0,0,3,0,0,1,0,21565.7107960331,0.00401742164673859,0.0160696865869544,0.0160696865869544
"910643","E02002330","E02002430",3,0,0,0,0,0,0,1,0,0,2,0,22577.8129046593,0.00328123505842422,0.00984370517527265,0.00984370517527265
"910644","E02002330","E02002431",4,0,0,0,0,0,0,4,0,0,0,0,23835.4982919522,0.00255150355869147,0.0102060142347659,0.0102060142347659
"910645","E02002330","E02002433",5,0,0,0,0,0,0,5,0,0,0,0,24638.6307925916,0.00217288617008011,0.0108644308504006,0.0108644308504006
"910646","E02002330","E02002435",7,0,0,0,1,0,0,5,0,0,1,0,25919.0431061221,0.00168198367102315,0.0117738856971621,0.0117738856971621
"910647","E02002330","E02002436",1,0,0,0,0,0,0,1,0,0,0,0,24422.9055271954,0.00226868727035192,0.00226868727035192,0.00226868727035192
"910648","E02002330","E02002439",2,0,0,0,0,0,0,2,0,0,0,0,0,0.3,0.6,0.6
"910649","E02002330","E02002441",3,0,0,0,0,0,0,3,0,0,0,0,0,0.3,0.9,0.9
"910650","E02002330","E02002442",4,0,0,0,1,0,0,3,0,0,0,0,0,0.3,1.2,1.2
"910651","E02002330","E02002443",1,0,0,0,0,0,0,1,0,0,0,0,0,0.3,0.3,0.3
"910652","E02002330","E02002444",1,0,0,0,0,0,0,1,0,0,0,0,0,0.3,0.3,0.3
"910653","E02002330","E02002446",2,0,0,0,0,0,0,2,0,0,0,0,0,0.3,0.6,0.6
"910654","E02002330","E02002447",1,0,0,0,0,0,0,1,0,0,0,0,0,0.3,0.3,0.3
"910655","E02002330","E02002448",1,0,0,0,0,0,0,1,0,0,0,0,0,0.3,0.3,0.3
"910656","E02002330","E02002450",9,0,0,0,0,0,0,8,1,0,0,0,0,0.3,2.7,2.7
"910657","E02002330","E02002451",6,0,0,0,0,0,0,6,0,0,0,0,0,0.3,1.8,1.8
"910658","E02002330","E02002452",5,0,0,0,0,0,0,5,0,0,0,0,0,0.3,1.5,1.5
"910659","E02002330","E02002453",2,0,0,0,0,0,0,2,0,0,0,0,0,0.3,0.6,0.6
"910660","E02002330","E02002454",7,0,0,0,0,0,0,5,2,0,0,0,0,0.3,2.1,2.1
"910661","E02002330","E02002456",4,0,0,0,0,0,0,4,0,0,0,0,0,0.3,1.2,1.2
"910662","E02002330","E02002458",4,0,0,0,0,0,0,4,0,0,0,0,0,0.3,1.2,1.2
"910663","E02002330","E02002459",1,0,0,0,0,0,0,0,1,0,0,0,0,0.3,0.3,0.3
"910664","E02002330","E02002461",2,0,0,0,0,0,0,2,0,0,0,0,0,0.3,0.6,0.6
"910665","E02002330","E02002464",3,0,0,0,0,0,0,3,0,0,0,0,0,0.3,0.9,0.9
"910666","E02002330","E02002465",3,0,0,0,0,0,0,3,0,0,0,0,0,0.3,0.9,0.9
